query_code,query_name,matched_code_1,matched_name_1,score_1,matched_code_2,matched_name_2,score_2,matched_code_3,matched_name_3,score_3
51297 0,※ｴﾋﾞ入りｼｭｰﾏｲ,570127,冷)ｼｭｰﾏｲ18g(ﾆｯｽｲ),0.73967,140159,エビシュウマイ14ｇ,0.63174,140159,エビシュウマイ14ｇ,0.63174
50385 0,☆FPねりからし(ﾁｭｰﾌﾞ),110117,からしマヨネーズ,0.2917,100503,おから(乾燥）,0.24644,560166,ねりうめ（しそ入り）,0.22865
1019915,※楽々骨なし助宗タラ60,510148,冷)助宗たら骨なし70g,0.33094,510147,冷)助宗たら骨なし60g,0.33094,510147,冷)助宗たら骨なし60g,0.33094
9002111,☆ドームケーキカスタード,550112,新ﾄﾞｰﾑｹｰｷ(こしあん),0.58109,550113,新ﾄﾞｰﾑｹｰｷ(ｶｽﾀｰﾄﾞ),0.58109,550113,新ﾄﾞｰﾑｹｰｷ(ｶｽﾀｰﾄﾞ),0.58109
51499 0,☆<給>黒こしょう,150317,味塩こしょう,0.53738,150320,柚子こしょう,0.53598,150318,粗引きこしょう(黒),0.44819
50127 0,☆BPたまごやき あまくち,170563,やさしい素材たまご,0.4404,170563,やさしい素材たまご,0.4404,30303,冷）たまごそぼろ,0.22552
5042900,☆ｲﾅｼｮｸ ｾﾞﾘｰの素(マスカ,130528,ｶｯﾌﾟｾﾞﾘｰの素　マスカット,0.56682,J550335,メロンゼリーの素,0.32452,130516,ミルクゼリー,0.29684
51263 0,☆五目たまごやき(SP10),170563,やさしい素材たまご,0.46131,170563,やさしい素材たまご,0.46131,570295,鶏五目（フーズランド）,0.24802
1091711,※赤魚骨なし　60ｇ,10601,赤魚骨無切身70g,0.61416,10602,赤魚骨無切身80g,0.61416,10601,赤魚骨無切身70g,0.61416
613210,☆冷）大根乱切り,540106,冷)大根乱切り500g,1.0,50340,大根,0.44402,540149,（冷）かぶ乱切り,0.3563
5010804,☆<F>ﾛｰｽﾊﾑｽﾗｲｽ10ｇ,20411,ロースハムスライス,1.0,20411,ロースハムスライス,1.0,20414,ロースハム短冊,0.4986
17173 0,創味つゆ,150150,めんつゆ,0.22702,100521,おつゆゆば,0.21431,150155,そばつゆ,0.21326
