query_code,query_name,matched_code_1,matched_name_1,score_1,matched_code_2,matched_name_2,score_2,matched_code_3,matched_name_3,score_3
55495k0,卵とうふ ﾌﾞﾛｰ(ﾀﾚ付),510169,冷)ふんわりお魚とうふ揚20g,0.233,510170,冷)お魚とうふ揚丸型ﾌﾟﾚｰﾝ50g,0.193,510170,冷)お魚とうふ揚丸型ﾌﾟﾚｰﾝ50g,0.193
55868k0,JFSA新こうや豆腐 細切り,20303,牛肉細切り,0.262,520129,錦糸卵細切り２ｍｍ,0.226,141011,細切り昆布の煮物,0.206
55154k0,玉ねぎダイス冷凍,51059,玉ねぎ　スライス　5ｍｍ,0.47,51061,玉ねぎ　1/4カット　5ｍｍスライス,0.47,50304,玉ねぎスライス（冷）5-7mm,0.47
55502k0,ﾍﾞｲｸﾄﾞｴｯｸﾞSP10たて,520121,ベイクドエッグ（キューピー）,0.811,520121,ベイクドエッグ（キューピー）,0.811,30315,ベーコン巻エッグ,0.216
55110k0,いんげんと白きくらげﾅﾑﾙ,50772,白きくらげ,0.552,50400,いんげん,0.47,50770,きくらげ,0.469
55658k0,うめびしお(7g),50606,梅びしお,0.487,50607,一食梅びしお,0.357,50607,一食梅びしお,0.357
55754k0,里芋きざみ,70301,里芋M（冷）,0.463,70302,里芋ハーフ（冷）,0.463,70300,里芋,0.463
55077k0,きざみ葉大根,60110,きざみのり,0.372,50340,大根,0.349,20413,きざみハム,0.343
56062k0,味伝 ぽん酢しょうゆ,560165,味付ぽん酢,0.351,J560176,昆布ぽん酢1ℓ,0.328,150131,味ぽん（ミツカン）,0.245
55732k0,BP惣菜用焼きﾋﾞｰﾌﾝ,90140,ビーフン,0.512,170513,やさしい素材ビーフ,0.375,170513,やさしい素材ビーフ,0.375
55788k0,ｶｯﾌﾟｾﾞﾘｰの素(青りんご),130528,ｶｯﾌﾟｾﾞﾘｰの素　マスカット,0.808,130527,ｶｯﾌﾟｾﾞﾘｰの素　抹茶,0.777,130523,ｶｯﾌﾟｾﾞﾘｰの素　ピーチ,0.77
55688k0,焼餃子(野菜)焼調理済ｽﾁ,140154,餃子17ｇ,0.296,140154,餃子17ｇ,0.296,140153,水餃子16g,0.194
55095k0,JFSA V緑ﾋﾟｰﾏﾝ千切りIQF,51077,ピーマン　千切り3ｍｍ,0.875,50130,ピーマン,0.546,J570355,緑ﾋﾟｰﾏﾝﾀﾞｲｽｶｯﾄ6㎜,0.482
55268k0,JFSAひじき煮(大豆入),60130,ひじき,0.753,170530,やさしい素材温ひじき,0.536,170530,やさしい素材温ひじき,0.536
55715k0,スパゲティサラダ,90530,スパゲティ２㎜,0.761,90532,スパゲティ（冷）,0.761,90531,サラダスパゲティ,0.738
55484k0,ﾐﾆﾁｷﾝ(旨辛だれ)約21g,170511,やさしい素材チキン,0.623,170511,やさしい素材チキン,0.623,510185,冷)ﾐﾆﾁｷﾝﾚﾓﾝﾊｰﾌﾞ24g(味の素),0.564
55713k0,旬菜膳菜 うの花,141007,うの花,0.47,50170,菜の花,0.289,50681,味の花,0.181
55787k0,ｶｯﾌﾟｾﾞﾘｰの素(ｵﾚﾝｼﾞ),130528,ｶｯﾌﾟｾﾞﾘｰの素　マスカット,0.808,130527,ｶｯﾌﾟｾﾞﾘｰの素　抹茶,0.777,130523,ｶｯﾌﾟｾﾞﾘｰの素　ピーチ,0.77
55837k0,もめん豆腐,30140,卵豆腐,0.192,30140,卵豆腐,0.192,100402,焼豆腐,0.192
